id,colaborador_profile_id,ciclo,status,sentimentos,nota_pre_plan,nota_brindes,nota_retrospectivas,nota_alinhamento,nota_mini_pitch,nota_momentos_finais,feedback_geral,created_at,updated_at
ed6af887-28e8-4333-9d26-ed93eb60ba2b,,,Respondido,,5,5,5,4,4,5,Não,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
183820d2-1b60-40cf-aac5-fe7b7c7b0d29,,,Respondido,,5,5,5,5,5,5,Não,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
aa526033-61b7-4c80-beeb-ef0f41b58962,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
812090af-848f-4a75-8510-b8ce3f642e08,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
2d12b86b-e4a2-47dd-83fc-f190e5edd061,,,Respondido,,4,5,4,4,4,5,Nada a comentar,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
3651e97c-236f-48a9-a3d8-25879797c2a8,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
56fc7c7a-72fd-4207-bdf7-c8490f5baf60,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
347581c3-c314-4ed0-a45a-a5f6081932c4,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
b25c3fd7-b69c-42ca-80f8-c85cc14f2b38,,,Respondido,,4,5,4,3,2,1,.,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0a6e150d-5a51-4daf-a8bf-58417e0a3652,,,Respondido,,4,5,3,5,5,5,"Não foi perguntado sobre o DaThacila, mas eu acredito que foi um ponto muito bom de ter voltado, é legal, é animado, é engraçado e as pessoas acabam sabendo curiosidades sobre outras ou até mesmo querendo participar mais (ps: poderia abrir um formulário para ser utilizado ao longo do ano com sugestões para o DaThacila, para ser algo de ""construção conjunta"" ao menos as temáticas e sentir esse pertencimento de participar.)",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
bebfef19-1d0b-4dab-b3da-1ae4e466e0c5,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
3cc4a3c5-5276-449f-baa4-f151f4e1b7ed,,,Respondido,,3,5,4,4,3,3,"No geral, gostei muito do formato mais objetivo mas ainda assom mantendo a essência do plan! Foi massa. Senti que sai com as informações mais fixas, justamente por conta da objetividade do evento. Sei quais são os objetivos da cubos, as okrs, etc etc.",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
