id,colaborador_profile_id,ciclo,status,nota_recomendacao,comentario_nota,nota_plan,comentario_plan,data_envio,created_at,updated_at
f935e443-d300-443f-a2ba-5307d440337f,,,Não respondeu,,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
e527e2fa-a496-49f5-82ef-9325e96700b9,,,Não respondeu,,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
2e51e7c9-65f6-49d2-a7ed-14b0dc0bc6b3,,,Finalizado,10,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
67fb1401-8551-4e11-b73b-d18d95ee75dc,,,Não respondeu,,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
594d4766-1790-46a8-9c59-8f0227f4d282,,,Finalizado,9,Cubos tem um ambiente muito acolhedor e preocupado com seus colaboradores,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
b40c7d0d-5c1f-4be0-9f36-b3b05e4d0c48,,,Finalizado,10,Ambiente muito acolhedor e aberto. Comunicação muito fácil entre todos da empresa e principalmente dentro da equipe de trabalho. As calls de RG aproxima o funcionário da empresa e o deixa por dentro do que a empresa está construindo no momento.,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
32914c77-bcda-4ac7-bdfb-21b3bd3cfbb7,,,Finalizado,8,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
567b4160-55bf-4b44-9181-aa6807a6a38b,,,Não respondeu,,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
cb29fce8-fec5-4d2e-bbe8-d046696e0f41,,,Finalizado,6,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
fbab89b7-f147-4a94-893c-fb395cf4dd04,,,Finalizado,8,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
d3cce70d-638c-441f-be50-f921d2112dd1,,,Finalizado,7,"No geral é um bom local pra trabalhar, mas é necessário estar sempre envolvido e vestindo a camisa para ser visto e quem sabe reconhecido e nesse processo se não tiver cuidado pode ser adoecedor.",,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
b39723c4-7641-4ca5-8157-24c8fb84fe48,,,Finalizado,10,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
43319a8f-bc25-4c4a-91ef-231676cd3bf4,,,Finalizado,8,,,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
d74544e1-d880-4c75-850a-ce39ce7a0c2a,,,Finalizado,9,"A Cubos oferece um ótimo ambiente de trabalho, com diversidade, segurança e no bem-estar dos seus colaboradores. Se preocupando em criar um clima descontraído e amigável, além de oferecer diversos benefícios que trazem o conforto e a qualidade.",,,2024-07-09,2026-03-31T03:51:30+00:00,2026-03-31T03:51:30+00:00
