id,colaborador_profile_id,lider_profile_id,tipo_day_off,data_solicitacao,data_inicio,data_fim,data_retorno,descricao,referencia_feriado,status_aprovacao,tipo_contrato,motivo_cancelamento,deseja_cancelar,created_at,updated_at
1f90ef9a-c725-453c-b218-241f9df2a113,,,Aniversário,2024-07-16,2024-07-15,,,,,Aprovada,CLT,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f097a61a-3b43-4419-8712-4f286934774f,,,Aniversário,2024-07-18,2024-07-05,,,,,Aprovada,CLT,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
03eb6249-f5b9-4533-9360-5c8521dbeb96,,,Aniversário,2024-08-09,2024-08-16,,,,,Aprovada,PJ,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
d4748819-02d5-48c0-86fa-f5fbfad4ae66,,,Banco de Horas - Dia Normal,2024-09-09,2024-09-20,,2024-09-23,,,Aprovada,,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
ca1a65a2-b3e1-45ac-aff0-3e405efa836e,,,Aniversário,2024-09-10,2024-09-16,,,,,Aprovada,CLT,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
d16a1d72-3e06-4542-9c68-3d9e0f3aa779,,,Aniversário,2024-09-20,2024-10-04,,,,,Aprovada,,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
b838a4f0-4a82-4379-8a87-890f673eb84d,,,Outro,2024-10-01,2024-09-16,,,Folga,,Aprovada,CLT,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
a4eee51a-f169-4a60-9ca1-198c60a88338,,,Banco de Horas - Dia Normal,2024-10-01,2024-09-20,,2024-09-23,,,Aprovada,CLT,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
3297ce37-9600-4f47-8b64-03a553be5357,,,Aniversário,2024-10-01,2024-10-04,,,,,Aprovada,PJ,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
a51d109b-6518-49c3-94dc-832056514318,,,Aniversário,2024-10-07,2024-10-21,,,,,Aprovada,CLT,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8ff19040-a92a-4a16-8d11-387755378f0d,,,Aniversário,2024-10-07,2024-12-10,,,,,Aprovada,PJ,,false,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
