id,pessoa_profile_id,lider_profile_id,data_inicial,data_final,fim_aquisitivo,inicio_periodo_gozo,fim_periodo_gozo,status_periodo,classificacao,saldo_dias,dias_usufruidos,total_dias_solicitados,total_dias_vendidos,tipo_contrato,observacoes,created_at,updated_at
50a7e5ae-0ff1-4f2c-a136-48eb320d6933,,,2024-04-09,,2024-12-27,2025-04-09,2026-04-08,Ativo,Não Ativo,-2,23,23,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
1ef4a086-072b-4237-97b4-533ce80f97b0,,,2020-10-20,,2020-12-21,2021-10-20,2022-10-19,Não Ativo,Não Ativo,0,5,5,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
96999d4c-971c-4be0-8a77-45ecd00cd9bc,,,2020-12-22,,2021-12-21,2021-12-22,2022-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
08a9f98e-6c80-47d8-a596-60f1fff88cdd,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
eaf78b18-0a03-42f9-a9bb-d47a57c16a4f,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
3d635506-fa32-4d5d-916d-083004479889,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,-15,45,45,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
538a6576-7ce3-43bd-95bf-debf5fab75db,,,2023-12-04,,2024-12-03,2024-12-04,2025-12-03,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
98e3f3f0-b559-40b7-bedb-f169a783bffc,,,2024-02-05,,2025-02-04,2025-02-05,2026-02-04,ativo,Não Ativo,15,15,15,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
3645c1d3-4d95-47f2-ac15-baa7f4a322f0,,,2022-02-15,,2023-02-14,2023-02-15,2024-02-14,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
958ee932-860a-49f0-88ea-7838e9a15260,,,2023-02-15,,2024-02-14,2024-02-15,2025-02-14,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
4c124e78-ced0-489a-8af0-5ffffed2e79c,,,2024-02-15,,2025-02-14,2025-02-15,2026-02-14,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8ab1005a-8852-443d-8433-499cef54fef2,,,2020-09-29,,2020-12-21,2021-09-29,2022-09-28,Não Ativo,Não Ativo,-2,8,8,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
c93d4bb8-33da-4a54-81cd-fbd1348bb599,,,2020-12-22,,2021-12-21,2021-12-22,2022-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
bb130dfa-1b34-48fc-8688-6b7111324a8a,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f5c04e1e-eb49-4642-92bf-e771165a336e,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
84258ca1-cd67-4ec6-8bc9-f4c63a863676,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
44bbc567-1aee-4b3f-b3c7-2941bba4877e,,,2023-06-20,,2024-06-19,2024-06-20,2025-06-19,ativo,Não Ativo,20,10,10,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
344563ca-1476-4738-9386-2670916d7033,,,2022-09-06,,2023-09-05,2023-09-06,2024-09-05,ativo,Não Ativo,25,5,5,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8e312de0-66cf-42ac-aa74-b49aa6a443de,,,2023-09-06,,2024-09-05,2024-09-06,2025-09-05,ativo,Não Ativo,30,0,0,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
57b0aeb6-8b0e-44f9-8af3-cda4aa993181,,,2020-10-27,,2021-10-26,2021-10-27,2022-10-26,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f5ca9be4-1fe8-475c-9e43-b40941d4863e,,,2021-10-27,,2022-10-26,2022-10-27,2023-10-26,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f3c80555-034e-49d3-859b-f938764273ce,,,2022-10-27,,2023-10-26,2023-10-27,2024-10-26,ativo,Não Ativo,15,15,15,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
0d7e1afb-0af6-4a14-89f0-7c230a22e5da,,,2023-10-27,,2024-10-26,2024-10-27,2025-10-26,ativo,Não Ativo,30,0,0,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
2667d14e-8ec5-4629-bd70-5f54306f5ead,,,2021-10-19,,2021-12-21,2022-10-19,2023-10-18,Não Ativo,Não Ativo,0,5,5,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
997f623d-ec80-4d15-a9f3-5a5ac756abab,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
