id,created_at,nome,faixa_salarial_inicio,faixa_salarial_centro,faixa_salarial_topo,senioridade_id,archived_at
1,2026-03-30T23:39:15+00:00,Copeira,,,,,
2,2026-03-30T23:39:15+00:00,Financeiro,90000,,,,
3,2026-03-30T23:39:15+00:00,Financeiro,103500,,,,
4,2026-03-30T23:39:15+00:00,Financeiro,119100,,,,
5,2026-03-30T23:39:15+00:00,Financeiro,143000,,,,
6,2026-03-30T23:39:15+00:00,Financeiro,164500,,,,
7,2026-03-30T23:39:15+00:00,Financeiro,189200,,,,
8,2026-03-30T23:39:15+00:00,Analista Financeiro,227100,,,,
9,2026-03-30T23:39:15+00:00,Analista Financeiro,261200,,,,
10,2026-03-30T23:39:15+00:00,Analista Financeiro,300400,,,,
11,2026-03-30T23:39:15+00:00,Analista Financeiro,360500,,,,
12,2026-03-30T23:39:15+00:00,Analista Financeiro,414600,,,,
13,2026-03-30T23:39:15+00:00,Analista Financeiro,476800,,,,
14,2026-03-30T23:39:15+00:00,Analista Financeiro,572200,,,,
15,2026-03-30T23:39:15+00:00,Analista Financeiro,658100,,,,
16,2026-03-30T23:39:15+00:00,Analista Financeiro,756900,,,,
17,2026-03-30T23:39:15+00:00,Coordenador(a) Financeiro,570000,,894900,,
18,2026-03-30T23:39:15+00:00,Gerente Financeiro,750000,,,,
19,2026-03-30T23:39:15+00:00,Diretor Financeiro,,,1300000,,
20,2026-03-30T23:39:15+00:00,RH,90000,,,,
21,2026-03-30T23:39:15+00:00,RH,103500,,,,
22,2026-03-30T23:39:15+00:00,RH,119100,,,,
23,2026-03-30T23:39:15+00:00,RH,143000,,,,
24,2026-03-30T23:39:15+00:00,RH,164500,,,,
25,2026-03-30T23:39:15+00:00,RH,189200,,,,
26,2026-03-30T23:39:15+00:00,Analista de RH,227100,,,,
27,2026-03-30T23:39:15+00:00,Analista de RH,261200,,,,
28,2026-03-30T23:39:15+00:00,Analista de RH,300400,,,,
29,2026-03-30T23:39:15+00:00,Analista de RH,360500,,,,
30,2026-03-30T23:39:15+00:00,Analista de RH,414600,,,,
31,2026-03-30T23:39:15+00:00,Analista de RH,476800,,,,
32,2026-03-30T23:39:15+00:00,Analista de RH,572200,,,,
33,2026-03-30T23:39:15+00:00,Analista de RH,658100,,,,
34,2026-03-30T23:39:15+00:00,Analista de RH,756900,,,,
35,2026-03-30T23:39:15+00:00,Coordenador(a) de RH,570000,,894900,,
36,2026-03-30T23:39:15+00:00,Gerente de RH,750000,,,,
37,2026-03-30T23:39:15+00:00,Diretor(a) de RH,,,1300000,,
38,2026-03-30T23:39:15+00:00,Marketing,90000,,,,
39,2026-03-30T23:39:15+00:00,Marketing,103500,,,,
40,2026-03-30T23:39:15+00:00,Marketing,119100,,,,
41,2026-03-30T23:39:15+00:00,Marketing,143000,,,,
42,2026-03-30T23:39:15+00:00,Marketing,164500,,,,
43,2026-03-30T23:39:15+00:00,Marketing,189200,,,,
44,2026-03-30T23:39:15+00:00,Analista de Marketing,227100,,,,
45,2026-03-30T23:39:15+00:00,Analista de Marketing,261200,,,,
46,2026-03-30T23:39:15+00:00,Analista de Marketing,300400,,,,
47,2026-03-30T23:39:15+00:00,Analista de Marketing,360500,,,,
48,2026-03-30T23:39:15+00:00,Analista de Marketing,414600,,,,
49,2026-03-30T23:39:15+00:00,Analista de Marketing,476800,,,,
50,2026-03-30T23:39:15+00:00,Analista de Marketing,572200,,,,
51,2026-03-30T23:39:15+00:00,Analista de Marketing,658100,,,,
52,2026-03-30T23:39:15+00:00,Analista de Marketing,765900,,,,
53,2026-03-30T23:39:15+00:00,Coordenador(a) de Marketing,570000,,894900,,
54,2026-03-30T23:39:15+00:00,Gerente de Marketing,750000,,,,
55,2026-03-30T23:39:15+00:00,Diretor(a) de Marketing,,,1300000,,
56,2026-03-30T23:39:15+00:00,Comercial ,90000,,,,
57,2026-03-30T23:39:15+00:00,Comercial ,103500,,,,
58,2026-03-30T23:39:15+00:00,Comercial ,119100,,,,
59,2026-03-30T23:39:15+00:00,Comercial ,143000,,,,
60,2026-03-30T23:39:15+00:00,Comercial ,164500,,,,
61,2026-03-30T23:39:15+00:00,Comercial ,189200,,,,
62,2026-03-30T23:39:15+00:00,Analista Comercial,227100,,,,
63,2026-03-30T23:39:15+00:00,Analista Comercial,261200,,,,
64,2026-03-30T23:39:15+00:00,Analista Comercial,300400,,,,
65,2026-03-30T23:39:15+00:00,Analista Comercial,360500,,,,
66,2026-03-30T23:39:15+00:00,Analista Comercial,414600,,,,
67,2026-03-30T23:39:15+00:00,Analista Comercial,476800,,,,
68,2026-03-30T23:39:15+00:00,Analista Comercial,572200,,,,
69,2026-03-30T23:39:15+00:00,Analista Comercial,658100,,,,
70,2026-03-30T23:39:15+00:00,Analista Comercial,765900,,,,
71,2026-03-30T23:39:15+00:00,Coordenador(a) Comercial,570000,,894900,,
72,2026-03-30T23:39:15+00:00,Gerente Comercial,750000,,,,
73,2026-03-30T23:39:15+00:00,Diretor(a) Comercial,,,1300000,,
74,2026-03-30T23:39:15+00:00,Associate Product Manager,255000,,382500,,
75,2026-03-30T23:39:15+00:00,Associate Product Manager,306000,,459000,,
76,2026-03-30T23:39:15+00:00,Product Manager,413100,,619700,,
77,2026-03-30T23:39:15+00:00,Product Manager,495800,,694200,,
78,2026-03-30T23:39:15+00:00,Product Manager,595000,,833000,,
79,2026-03-30T23:39:15+00:00,Product Manager,714000,,999600,,
80,2026-03-30T23:39:15+00:00,Product Manager,963900,,1253100,,
81,2026-03-30T23:39:15+00:00,Product Manager,1060300,,1378400,,
82,2026-03-30T23:39:15+00:00,Product Manager,1166400,,1516400,,
83,2026-03-30T23:39:15+00:00,Staff Product Manager,1283100,,1668100,,
84,2026-03-30T23:39:15+00:00,Staff Product Manager,1385800,,1801600,,
85,2026-03-30T23:39:15+00:00,GPM,1496700,,1945800,,
86,2026-03-30T23:39:15+00:00,Head,1646400,,2140400,,
87,2026-03-30T23:39:15+00:00,Consultora em Produto,,,,,
88,2026-03-30T23:39:15+00:00,Designer,80000,,,,
89,2026-03-30T23:39:15+00:00,Designer,110000,,,,
90,2026-03-30T23:39:15+00:00,Designer,140000,,,,
91,2026-03-30T23:39:15+00:00,Designer,230000,,361100,,
92,2026-03-30T23:39:15+00:00,Designer,275000,,431750,,
93,2026-03-30T23:39:15+00:00,Designer,330000,,518100,,
94,2026-03-30T23:39:15+00:00,Designer,430000,,675100,,
95,2026-03-30T23:39:15+00:00,Designer,500000,,785000,,
96,2026-03-30T23:39:15+00:00,Designer,580000,,910600,,
97,2026-03-30T23:39:15+00:00,Designer,670000,,1051900,,
98,2026-03-30T23:39:15+00:00,Designer,750000,,1177500,,
99,2026-03-30T23:39:15+00:00,Designer,850000,,1334500,,
100,2026-03-30T23:39:15+00:00,Designer,950000,,1491500,,
101,2026-03-30T23:39:15+00:00,Designer,1000000,,1570000,,
102,2026-03-30T23:39:15+00:00,Designer,1080000,,1695600,,
103,2026-03-30T23:39:15+00:00,Designer,1160000,,1821200,,
104,2026-03-30T23:39:15+00:00,Designer,1240000,,1946800,,
105,2026-03-30T23:39:15+00:00,Desenvolvedor(a),80000,,,,
106,2026-03-30T23:39:15+00:00,Desenvolvedor(a),110000,,,,
107,2026-03-30T23:39:15+00:00,Desenvolvedor(a),140000,,,,
108,2026-03-30T23:39:15+00:00,Desenvolvedor(a),230000,,361100,,
109,2026-03-30T23:39:15+00:00,Desenvolvedor(a),275000,,431750,,
110,2026-03-30T23:39:15+00:00,Desenvolvedor(a),330000,,518100,,
111,2026-03-30T23:39:15+00:00,Desenvolvedor(a),430000,,675100,,
112,2026-03-30T23:39:15+00:00,Desenvolvedor(a),500000,,785000,,
113,2026-03-30T23:39:15+00:00,Desenvolvedor(a),580000,,910600,,
114,2026-03-30T23:39:15+00:00,Desenvolvedor(a),670000,,1051900,,
