id,nome,zazos_record_id
1,DIRETORIA,058ba1eb-eca4-43e9-b47d-2b71eee5fe69
2,METODOLOGIA,c8a4b8ef-26a8-4a0b-afec-5be81021ca18
3,(INATIVO) PM,1473ab08-5810-4a5d-96a6-d5ae594b6828
4,(INATIVO) PO,022063cb-c17a-4d99-9dd9-de5b6d13a51a
5,(INATIVO) STAFF DIRETORIA,b601d24f-e8c5-4d0d-9116-7e49ee3c58d8
6,(INATIVO) ADMINISTRATIVO,eb851456-e5c6-4d91-97a8-c18385bd43eb
7,JURÍDICO,80b60b17-f7c9-4f7a-abb7-de6c11b5cb48
8,PESSOAS,029bb8d1-624b-4f05-add7-ae3c1838947f
9,(INATIVO) CONTABILIDADE,7b59c179-98f6-44d8-86ef-43667bf3fa6f
10,(INATIVO) IMPLANTAÇÃO,9af93f91-c839-4125-b23e-2077966d4536
11,INTEGRAÇÃO,17eacb81-2bb1-4670-9fe9-93a6d3484363
12,(INATIVO) PROCESSAMENTO PERIODICO,1e29a773-c2b1-43d5-9f1b-bdf40579c8de
13,PROJETOS,29178651-a83f-4f5a-ac17-3f49d2436840
14,GOVERNANÇA E PROJETOS,db4be0bf-e101-4d7c-b548-ab9e7aa78aff
15,(INATIVO) INTELIGÊNCIA DE DADOS,bdb6428f-156e-4502-a6b5-c4017e28f2f4
16,SUPORTE,7a71db24-fad9-4e1e-9dbc-f100ca5a1fbf
17,CANAIS,91372d85-df18-439f-97dc-550709337102
18,CLIENTES,b49aa36a-7bac-4ff3-bf76-9a7f078cd9e8
19,COMERCIAL,2047fc73-0566-44b4-81a9-5a9d252c9362
20,MARKETING,27908365-62bb-4d13-9b17-c4981ce124eb
21,DADOS,01dc4a64-380b-436f-bfea-61d288bfedb5
22,INFRAESTRUTURA,c8a31a8d-9aac-493d-b065-50abdc2dcc35
23,(INATIVO) SUPORTE E IMPLANTAÇÃO,21b3d37e-a6c0-470c-bd6b-ae04dce3698f
24,PRODUTO / DESIGN,aba12811-77df-4441-9d21-ace00af192fa
25,WEB,78f0eaf7-9c72-4bbd-8954-f4fe634e6bf4
26,(INATIVO) IMPLANTAÇÃO 1 INTEGRAÇÃO,f53dab5a-4f37-4379-9695-0136f443a6bd
27,PROCESSAMENTO PERIÓDICO,e01e6776-a2c5-497a-baf9-996c79388b65
28,(INATIVO) IMPLANTAÇÃO 3,6eda1866-e74d-46d5-96be-1d7f5e313add
29,(INATIVO) QUALIDADE,9e80b1fe-3867-41f0-90cd-0bdcc4eddfc9
30,(INATIVO) IMPLANTAÇÃO 1 SUSTENTABILIDADE,bfc17f2e-81f6-43c4-b9ff-3689cef34c66
31,(INATIVO) IMPLANTAÇÃO 2,02ecb380-6163-410c-9ee6-a183b8b75739
32,(INATIVO) IMPLANTAÇÃO 1 CONTABILIDADE,fa258a0f-a790-43a7-bb6a-ca17797f28c0
33,(INATIVO) IMPLANTAÇÃO 1,beebcbb4-d34b-444c-90e5-2f00e4a3e064
34,(INATIVO) IMPLANTAÇÃO 1 PROJETOS,d059dab0-0f11-4bb7-8138-9bd8f224585f
35,PRODUTO,56a00ca4-2085-4948-91b6-95cf8f650e9a
36,P&D,f9d728e3-2fd5-420f-9e27-0d5da0547648
37,(INATIVO) VENDAS E CANAIS,15682b22-eb3b-4e72-b5f4-1c538aae2148
38,(INATIVO) IA,21124bfa-f375-4201-9010-b8129f7a929e
39,FINANCEIRO ADMINISTRATIVO,ac6238a5-77ae-4e9f-836e-b04717138cc5
40,SUSTENTABILIDADE,87baf7f4-744e-4963-9737-fbc129ea89b0
41,DADOS / ANALISE,65c60d74-d9f1-429d-ad50-c7cb94247485
42,INTEGRAÇÃO / CONTABILIDADE,c53df7b0-3a0f-41f5-a2e3-915d97d286ce
43,INTEGRAÇÃO / METODOLOGIA,da53ccd3-4f9c-412e-a8ca-772b2b8bb173
44,CONSULTING,a6f8a688-232f-42ed-9b02-5628e8788e77
45,METODOLOGIA DE PRODUTO ,7c13d25f-adb4-49e8-a983-bdd2faa93c6c
46,ADVANCED,22bd3d3f-5cf7-4c20-979e-3db8bf5b5b47
47,CONSULTORIA,2d5ec889-8bf5-4c77-a6d8-2cf82c824ab2
48,IMPACT,80981a3e-4985-4f6d-9003-6ee5d6604451
49,PLANEJAMENTO,61c2bf5b-0fdb-4b73-bb71-06ea3ed45a46
50,START,07439997-fbbe-4dd1-84e8-4d3f01223ff4
51,PMM,db5fd582-e7c5-4b72-a979-a94f77e36c80
52,METODOLOGIA DE INTEGRAÇÃO,02c7d34c-921f-4596-9429-0c32a3f9bdda
53,Pessoas,23448db4-27ba-4fed-aea0-1f14390ff048
54,Descarbonização,8af19d7c-adee-4dd2-8553-b8f910634a45
55,,f7b38cd8-f5b7-4a59-810e-c929271d1330
56,,81573507-8b92-4988-a0b6-420e8d41da6b
57,,2644e5b8-63ae-444e-888a-fd832e086e3d
58,,f4b28a7f-265d-48f0-b551-3c9c94b38d3c
