id,pessoa_id,data_inicio_aquisitivo,data_fim_aquisitivo,situacao_periodo,quantidade_dias_adquiridos,quantidade_dias_utilizados,saldo_dias,data_inicio_recessivo,data_fim_recessivo,motivo_recessao,data_concessao_recesso,created_at,updated_at
e43b9ff6-a399-4beb-a759-85d9fb7f9494,636092ec-f326-4835-9678-5d9059450df8,2021-08-31,2022-08-30,Historico,30,10,20,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
4496b553-2ecd-484f-9744-00f586a16e29,00f71b01-c55c-4437-a0a7-d95da6ebd5b2,2021-07-15,2022-07-14,Historico,30,30,0,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
42c08433-b5a2-4edc-84c3-9436396ea9b0,7d36dea4-b9b0-4381-b6a0-3eec08d97cf6,2021-10-02,2022-10-01,Historico,30,15,15,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
1177ec66-2736-456b-9000-2c00b53a634c,c5e7f4fc-8ff2-49e2-b690-7c3df959528f,2021-09-01,2022-08-31,Historico,30,10,20,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
59e58ff9-f191-4099-8e95-101f33dc25af,e1afcdca-7dc0-469d-babe-77a945fc80a3,2021-02-01,2022-01-31,Historico,30,0,30,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
fcc0dec0-be98-445b-9f4a-1c58aa7c7b82,38dd7d79-a65b-43c9-8de9-a619fb8ea7ac,2021-12-10,2022-12-09,Historico,30,0,30,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
8f81a789-a76e-4e8c-9c2e-d7dfa7591a87,ecc8dba7-abf0-48c9-b891-2fd6c5c87e65,2021-07-01,2022-06-30,Historico,30,10,20,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
f8c8ddf6-2b50-4d06-a0a2-02f80dd12750,54883200-ee36-4ba3-8644-11696c04b002,2021-08-16,2022-08-15,Historico,30,0,30,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
27824567-b4af-46b1-a9cc-72550d1cf401,ca9becbd-26e5-499e-a596-201860077353,2021-11-01,2022-10-31,Historico,30,0,30,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
2f90c761-9f22-48f8-92d4-4121367558f9,dd9464f9-5bc1-49e8-a572-9aebdc3694fa,2021-01-14,2022-01-13,Historico,30,0,30,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
fef6f770-87fe-464a-ba89-4e0a1469286c,a53257b4-53ba-45fc-b289-1638d21a9df5,2023-01-09,2024-01-08,Historico,30,25,5,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
945ee85e-3fa3-4e0c-9e8d-ae50c97b9a26,ecb6fa52-c067-46e5-908e-ed9b7aaa2f41,2022-08-01,2023-07-31,Historico,30,25,5,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
f799876f-7e41-4ffd-8eaf-951caaefc09f,c736c414-19e5-4b3b-bd00-0ca5ae639f1f,2023-02-27,2024-02-26,Ativo,30,30,0,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
7b2b5a39-c815-4011-b193-7402e0d6016d,a610aa08-d0fe-4689-8c77-a0bfe715e63d,2021-01-03,2022-01-02,Historico,30,0,30,,,,,2026-04-02T01:03:28+00:00,2026-04-02T01:03:28+00:00
