id,nome,created_at
1,Gerente de Marketing,2026-04-01T15:33:09+00:00
2,Coordenadora de Marketing,2026-04-01T15:33:09+00:00
3,Head de Relacionamento Comercial,2026-04-01T15:33:09+00:00
4,Head de Parcerias Comerciais e Vendas,2026-04-01T15:33:09+00:00
5,Gerente de Projetos,2026-04-01T15:33:09+00:00
6,Especialista de Projetos,2026-04-01T15:33:09+00:00
7,Analista de Projetos,2026-04-01T15:33:09+00:00
8,Assistente de Projetos,2026-04-01T15:33:09+00:00
9,Auxiliar de Projetos,2026-04-01T15:33:09+00:00
10,Account Manager,2026-04-01T15:33:09+00:00
11,Especialista de Contas,2026-04-01T15:33:09+00:00
12,Analista de Contas,2026-04-01T15:33:09+00:00
13,Assistente de Contas,2026-04-01T15:33:09+00:00
14,Assistente comercial,2026-04-01T15:33:09+00:00
15,Head de Conteúdo,2026-04-01T15:33:09+00:00
16,Especialista de Conteúdo ,2026-04-01T15:33:09+00:00
17,Analista de Conteúdo ,2026-04-01T15:33:09+00:00
18,Analista de Conteúdo e Perfomance,2026-04-01T15:33:09+00:00
19,Assistente de contéudo,2026-04-01T15:33:09+00:00
20,Auxiliar de Contéudo,2026-04-01T15:33:09+00:00
21,Estagiária de Conteúdo,2026-04-01T15:33:09+00:00
22,Coordenador de Projetos e Estratégia,2026-04-01T15:33:09+00:00
23,Head de Rede Sociais /Mídias sociais,2026-04-01T15:33:09+00:00
24,Especialista de Rede Sociais /Mídias sociais,2026-04-01T15:33:09+00:00
25,Analista de Redes Sociais/Mídias sociais,2026-04-01T15:33:09+00:00
26,Assitente de Rede Sociais /Mídias sociais,2026-04-01T15:33:09+00:00
27,Auxiliar de Rede Sociais /Mídias sociais,2026-04-01T15:33:09+00:00
28,Analista de Redes Sociais/Mídias sociais,2026-04-01T15:33:09+00:00
29,Head de Arte e Criação,2026-04-01T15:33:09+00:00
30,Diretor de Criação e Design,2026-04-01T15:33:09+00:00
31,Coordenador de Criação e Design,2026-04-01T15:33:09+00:00
32,Analista de Criação e Design,2026-04-01T15:33:09+00:00
33,Designer,2026-04-01T15:33:09+00:00
34,Designer,2026-04-01T15:33:09+00:00
35,Designer,2026-04-01T15:33:09+00:00
36,Assistente de Criação e Design,2026-04-01T15:33:09+00:00
37,Auxiliar de Criação e Design,2026-04-01T15:33:09+00:00
38,Produtor de Roteiros,2026-04-01T15:33:09+00:00
39,CEO,2026-04-01T15:33:09+00:00
40,Diretor,2026-04-01T15:33:09+00:00
41,Sócio,2026-04-01T15:33:09+00:00
42,CFO,2026-04-01T15:33:09+00:00
43,Gerente de controladoria,2026-04-01T15:33:09+00:00
44,Coordenador de Controladoria,2026-04-01T15:33:09+00:00
45,Especialista de Controladoria,2026-04-01T15:33:09+00:00
46,Analista de Controladoria,2026-04-01T15:33:09+00:00
47,Assistente de Controladoria,2026-04-01T15:33:09+00:00
48,Auxiliar de controladoria,2026-04-01T15:33:09+00:00
49,Gerente de Financeiro,2026-04-01T15:33:09+00:00
50,Especialista Financeiro,2026-04-01T15:33:09+00:00
51,Analista Financeiro,2026-04-01T15:33:09+00:00
52,Assistente Financeiro,2026-04-01T15:33:09+00:00
53,Auxiliar Financeiro,2026-04-01T15:33:09+00:00
54,Estagiário de Planejamento,2026-04-01T15:33:09+00:00
55,Gerente de Business Intelligence,2026-04-01T15:33:09+00:00
56,Coordenador de Business Intelligence,2026-04-01T15:33:09+00:00
57,Especialista de Business Intelligence,2026-04-01T15:33:09+00:00
58,Analista de Business Intelligence,2026-04-01T15:33:09+00:00
59,Assistente de Business Intelligence,2026-04-01T15:33:09+00:00
60,Auxiliar de Business Intelligence,2026-04-01T15:33:09+00:00
61,Gerente de Financeiro,2026-04-01T15:33:09+00:00
62,Head Jurídico,2026-04-01T15:33:09+00:00
63,Coordenador Jurídico,2026-04-01T15:33:09+00:00
64,Especialista Jurídico,2026-04-01T15:33:09+00:00
65,Analista Jurídico,2026-04-01T15:33:09+00:00
66,Assistente Jurídico,2026-04-01T15:33:09+00:00
