id,created_at,nome,faixa_salarial_inicio,faixa_salarial_centro,faixa_salarial_topo,senioridade_id,archived_at
1,2026-04-06T16:37:09+00:00,GERENTE ADMINISTRATIVO FINANCEIRO,,,,,
2,2026-04-06T16:37:09+00:00,ESPECIALISTA DE RELACIONAMENTO,,,,,
3,2026-04-06T16:37:09+00:00,DIRETOR DE UNIDADE DE NEGÓCIO,,,,,
4,2026-04-06T16:37:09+00:00,HEAD SOCIAL,,,,,
5,2026-04-06T16:37:09+00:00,COORDENADOR DE GROWTH,,,,,
6,2026-04-06T16:37:09+00:00,COORDENADOR DE PÓS-PRODUÇÃO AUDIOVISUAL,,,,,
7,2026-04-06T16:37:09+00:00,ANALISTA DE GROWTH ENABLEMENT SÊNIOR,,,,,
8,2026-04-06T16:37:09+00:00,COMMUNITY MANAGER,,,,,
9,2026-04-06T16:37:09+00:00,ESPECIALISTA DE MARKETING OPS,,,,,
10,2026-04-06T16:37:09+00:00,GERENTE DE VENDAS,,,,,
11,2026-04-06T16:37:09+00:00,HEAD DE PRODUTOS E CX,,,,,
12,2026-04-06T16:37:09+00:00,DESIGNER VISUAL SÊNIOR,,,,,
13,2026-04-06T16:37:09+00:00,ESPECIALISTA DE PÓS-PRODUÇÃO AUDIOVISUAL,,,,,
14,2026-04-06T16:37:09+00:00,DIRETOR COMERCIAL,,,,,
15,2026-04-06T16:37:09+00:00,HEAD DE ENGENHARIA DE SOFTWARE,,,,,
16,2026-04-06T16:37:09+00:00,HEAD DE PRODUTOS,,,,,
17,2026-04-06T16:37:09+00:00,DIRETOR DE CUSTOMER SUCCESS,,,,,
18,2026-04-06T16:37:09+00:00,SDR,,,,,
19,2026-04-06T16:37:09+00:00,CEO,,,,,
20,2026-04-06T16:37:09+00:00,ESPECIALISTA EDITORIAL,,,,,
21,2026-04-06T16:37:09+00:00,HEAD DE AUDIOVISUAL,,,,,
22,2026-04-06T16:37:09+00:00,HEAD COMERCIAL,,,,,
23,2026-04-06T16:37:09+00:00,COORDENADOR DE CAPTAÇÃO AUDIOVISUAL,,,,,
24,2026-04-06T16:37:09+00:00,COORDENADOR DE PRODUÇÃO AUDIOVISUAL,,,,,
25,2026-04-06T16:37:09+00:00,PRODUTOR DE EVENTOS PLENO,,,,,
26,2026-04-06T16:37:09+00:00,EXECUTIVO DE VENDAS,,,,,
27,2026-04-06T16:37:09+00:00,COORDENADORA DE CUSTOMER SUCCESS,,,,,
28,2026-04-06T16:37:09+00:00,COORDENADORA DE SUPORTE,,,,,
29,2026-04-06T16:37:09+00:00,COORDENADOR DE CX,,,,,
30,2026-04-06T16:37:09+00:00,TECH LEAD I,,,,,
31,2026-04-06T16:37:09+00:00,HEAD DE OPERAÇÕES,,,,,
32,2026-04-06T16:37:09+00:00,HEAD DE BUSINESS OPERATIONS,,,,,
33,2026-04-06T16:37:09+00:00,PRODUCT MANAGER ESPECIALISTA,,,,,
