id,expense_description,tipo_de_lancamento,expense_value_v2,expense_date,expense_person,expense_receipt,budget_id,expense_status,expense_refundable,valor_reembolso_parcial,expense_notes,comentarios_lideranca,deseja_alocar_o_reembolso_em_um_centro_de_custo_diferente_do_se,centro_de_custo_realocacao,cost_center,created_at,updated_at
b66af636-a91c-4641-a3cc-9e4b4346b38f,,,500000,2025-06-20,,,,,,,,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
6ed704ce-95be-4ffc-9cce-e48ae81ac39b, Compra Canecas (pt1) - Kit Onboarding,Despesa,139500,2025-06-26,,,,Finalizado,,,Nota Fiscal recebida -> Comprovante de pagamento enviado,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
8f93848b-bdba-4e52-8455-c4f57e4f7908,Compra Mouse Pad | Kit onboarding,Despesa,133857,2025-06-16,,,,Finalizado,,,NF OK,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
747df30c-5b9e-4ca1-85b9-b0b54d2a6246,,Despesa,503300,2025-06-24,,,,Finalizado,,,Nota Fiscal recebida -> Comprovante de pagamento enviado,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
5f4c7ac8-ebbd-4b65-85d7-9fb0cdb153d7,,Despesa,182229,2025-06-26,,,,Finalizado,,,"Comprovante de pagamento enviado -> Pendente de NF -> Compra cancelada, aguardando devolução do valor -> Valor devolvido",,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
8df56962-4e17-4835-87de-4c7d514a1553,,Despesa,132473,2025-07-02,,,,Finalizado,,,,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
636b454c-14d5-4ac0-85a6-bb2c061813fa,,Despesa,83500,2025-07-15,,,,Finalizado,,,Pendente de NF,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
e0e5d022-2af4-46fd-be6d-e43901c87412,Compra via Mercado Livre,Despesa,129649,2025-07-17,,,,Finalizado,,,Pendente de NF,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
774e3157-174d-460f-84ef-b50a08ed3e97,,Despesa,1900,2025-07-18,,,,Finalizado,,,NF recebida,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
61c66398-5ab3-443a-8908-c63f1f6b403b,,Despesa,62000,2025-07-21,,,,Finalizado,,,NF recebida,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
88500ed2-9c83-4fd0-9bc1-9fabf187af8f,Compra realizada via mercado livre pago com cartão Elo,Despesa,5779,2025-07-31,,,,Finalizado,,,Pagamento realizado diretamente pelo MKT -> NF recebida,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
3e010b9b-ddec-46f6-a4de-3c25315334fa,Compra Carimbo - MKT,Despesa,4350,2025-08-11,,,,Finalizado,,,NF OK,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
32a19613-059b-4c1f-a549-67c1d2b7dd20,Compra via mercado livre - cartão Elo,Despesa,5484,2025-08-12,,,,Finalizado,,,NF recebida,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
41d32c9a-8642-4ee7-9d6d-1659af3e2835,Impressão + plastificação | Manual Sala Caldeira - Click Impresso,Despesa,13000,2025-08-13,,,,Finalizado,,,NF anexada,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
52c924ca-df32-4839-997a-492679f4c028,Compra carimbo + almofada,Despesa,5100,2025-09-03,,,,Finalizado,,,NF OK,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
a5efe374-5b72-492e-884d-e30beec72c12,,Despesa,56400,2025-09-22,,,,Finalizado,,,,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
facf6bb9-7392-4f51-b8b4-aa2e71af6acf,O pagamento também pode ser feito através do Link: https://www.clickimpresso.com.br/client/segunda_via.php?job_id=528580,Despesa,9500,2025-09-22,,,,Finalizado,,,,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
e3708604-277e-467e-8c17-85958dddccf8,Pago no dia 18/09/2025 autorizado pela Luiza,Despesa,46990,2025-09-18,,,,Finalizado,,,,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
185a4825-eb60-455e-a22c-5b3222d23b7b,,Reembolso,3600,,,,,,,,Programado junto ao próximo salário,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
2ad89890-713d-4f74-ac6e-da682f6e8fe1,Pagamento | Sinal de reserva de data DJ para confraternização final de ano POA ,Despesa,10000,2025-10-04,,,,Finalizado,,,Pendente de NF,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
0003ee44-a416-4a65-9940-868064139128,Pagamento | Adiantamento 30% | BENEDETTA PIZZARIA | Evento final de ano ,Despesa,50280,2025-10-07,,,,Finalizado,,,Pendente de NF,,,,,2026-03-31T23:40:33+00:00,2026-03-31T23:40:33+00:00
