id,pessoa_id,data_inicio_aquisitivo,data_fim_aquisitivo,data_inicio_concessivo,data_fim_concessivo,situacao_periodo,quantidade_dias_adquiridos,created_at,updated_at
1284e1b7-f9f0-4c3d-8098-a7081d0452f3,,2018-12-19,2019-12-18,2019-12-19,2020-12-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
d3af11aa-9583-4ddd-803f-ed6e5f42f974,,2019-12-19,2020-12-18,2020-12-19,2021-12-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
a83fbc6d-83c7-4485-99cf-b51be69965a7,,2020-12-19,2021-12-18,2021-12-19,2022-12-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
87828a68-83b9-4a58-a26e-d8fdfa67c3cf,,2021-12-19,2022-12-18,2022-12-19,2023-12-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
2831c28e-f0f2-462a-b060-a9dea96bc6d8,,2022-12-19,2023-12-18,2023-12-19,2024-12-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
2909eb65-baa8-4407-8617-ef7d547c1d89,,2022-05-06,2023-05-05,2023-05-06,2024-05-05,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
0ff0e765-888c-43a7-b488-f3e761c5ff85,,2023-05-06,2024-05-05,2024-05-06,2025-05-05,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
7883acad-744c-4e20-96e1-828b056aad5c,,2024-05-06,2025-05-05,2025-05-06,2026-05-05,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
e68ea426-bad9-4c7c-b99b-e1b036818ed6,,2022-03-22,2023-03-21,2023-03-22,2024-03-21,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
16d428f9-71dd-49ee-b779-795ca965f7d5,,2023-03-20,2024-03-19,2024-03-20,2025-03-19,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
306441c7-558a-406f-950a-be921875b2c2,,2023-06-29,2024-06-28,2024-06-29,2025-06-28,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
313b42dc-7341-4252-8538-f5d18d87dd41,,2023-08-21,2024-08-20,2024-08-21,2025-08-20,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
beaa2fe8-0303-4610-a99f-8553fc7c5da7,,2023-09-18,2024-09-17,2024-09-18,2025-09-17,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
6b542052-d12c-4684-bacc-7f29fe6cecee,,2021-09-29,2022-09-28,2022-09-29,2023-09-28,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
2cf55aeb-e234-4070-879b-83a623e999c5,,2022-09-29,2023-09-28,2023-09-29,2024-09-28,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
08d4e7bb-eb43-44df-a4a6-796a1feb16c9,,2024-02-19,2025-02-18,2025-02-19,2026-02-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
e2468136-8a71-4fcf-9c11-c19214e78d6f,,2024-04-22,2025-04-21,2025-04-22,2026-04-21,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
e59a984e-d380-4cba-95b8-eafc5ef926ae,,2024-07-25,2025-07-24,2025-07-25,2026-07-24,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
44902272-170e-438b-80d6-0ef5ce76a0de,,2024-09-02,2025-09-01,2025-09-02,2026-09-01,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
aca72be2-d7b0-4832-a222-f7633e3f2f1a,,2024-08-19,2025-08-18,2025-08-19,2026-08-18,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
a2eecad2-2c9a-45bd-ab04-c52b485c439a,,2024-09-25,2025-09-24,2025-09-25,2026-09-24,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
862b3c4c-5e3f-4ab5-b9ea-2ff905a3118c,,2024-09-09,2025-09-08,2025-09-09,2026-09-08,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
f07239bc-98d3-4cbf-9ab4-ed618476d98a,,2024-01-22,2025-01-21,2025-01-22,2026-01-21,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
c21ba6c6-329c-488a-b510-08d57b5643b6,,2024-02-26,2025-02-25,2025-02-26,2026-02-25,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
0fd78710-7396-446f-940b-e1ea575dc12c,,2024-04-17,2025-04-16,2025-04-17,2026-04-16,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
