id,competencia,data_pagamento
9e650305-68fc-45d9-9914-287e31c0b33d,2024-11-01,2024-12-05
4fba7687-5157-423d-b38d-b0edf5c49d1c,2024-12-20,2024-12-05
b212fd4c-6230-48da-a512-58d7eb2aa3f4,2024-12-01,2024-01-06
410f5c20-a71a-4496-b189-54a4d4b90c03,2025-01-01,2025-02-05
5a549cc4-01a5-45ef-8887-c913b0606f4b,2025-02-01,2025-03-06
380042c4-dc3e-4f5e-a656-34090a096c4b,2025-03-01,2025-04-04
86723533-27ec-490f-b58d-b48ec6bf2d8b,2025-04-01,2025-05-07
d799f5f0-649a-418d-8689-4af10e3f919b,2025-05-01,2025-06-06
252ca869-54e9-4be7-b2a6-c6e740481966,2025-06-01,2025-07-04
62d4f586-ba3b-424c-ac1c-490dc121614e,2025-07-01,2025-08-06
82a3923e-d2b0-44d3-a705-e1b2d4c308ed,2025-08-01,2025-09-05
48a4fe5b-375a-4bf8-b6b1-03275f8c8d10,2025-09-01,2025-10-06
968ba4c2-8a61-4e48-89c5-5a01b9148f16,2025-10-01,2025-11-06
d8c60420-005c-4505-9561-55458b6690d1,2025-11-01,2025-11-28
80326796-323f-4648-a870-26d9c7368011,2025-11-01,2025-12-05
0935c146-3590-4de0-86d1-49c00005a880,2025-12-01,2025-12-19
095efb65-239a-48c1-a09d-d7f7ec95b5bd,2025-12-01,2026-01-07
adc8bd08-4803-409a-bfc0-51557e38e093,2026-01-01,2026-02-06
03277ff9-c289-4ae3-9235-2d2130d1e2e8,2025-12-01,
01b3a122-637f-44dc-a463-96df3f2084ac,2026-02-01,2026-03-06
