id,nome,faixa_salarial_inicio,faixa_salarial_centro,faixa_salarial_topo,senioridade_id,archived_at,created_at
1,Backend - Desenvolvedor(a) Backend .Net - Junior,,,,,,2026-03-31T20:46:19+00:00
2,Backend - Desenvolvedor(a) Backend .Net - Pleno,,,,,,2026-03-31T20:46:19+00:00
3,Backend - Desenvolvedor(a) Backend .Net - Senior,,,,,,2026-03-31T20:46:19+00:00
4,Backend - Desenvolvedor(a) Backend .Net - Especialista,,,,,,2026-03-31T20:46:19+00:00
5,Backend - Desenvolvedor(a) Backend .Net Core - Junior,,,,,,2026-03-31T20:46:19+00:00
6,Backend - Desenvolvedor(a) Backend .Net Core - Pleno,,,,,,2026-03-31T20:46:19+00:00
7,Backend - Desenvolvedor(a) Backend .Net Core - Senior,,,,,,2026-03-31T20:46:19+00:00
8,Backend - Desenvolvedor(a) Backend .Net Core - Especialista,,,,,,2026-03-31T20:46:19+00:00
9,Backend - Desenvolvedor(a) Backend Java - Junior,,,,,,2026-03-31T20:46:19+00:00
10,Backend - Desenvolvedor(a) Backend Java - Pleno,,,,,,2026-03-31T20:46:19+00:00
11,Backend - Desenvolvedor(a) Backend Java - Senior,,,,,,2026-03-31T20:46:19+00:00
12,Backend - Desenvolvedor(a) Backend Java - Especialista,,,,,,2026-03-31T20:46:19+00:00
13,Backend - Desenvolvedor(a) Backend Node - Junior,,,,,,2026-03-31T20:46:19+00:00
14,Backend - Desenvolvedor(a) Backend Node - Pleno,,,,,,2026-03-31T20:46:19+00:00
15,Backend - Desenvolvedor(a) Backend Node - Senior,,,,,,2026-03-31T20:46:19+00:00
16,Backend - Desenvolvedor(a) Backend Node - Especialista,,,,,,2026-03-31T20:46:19+00:00
17,Backend - Desenvolvedor(a) Backend Ruby on Rails - Junior,,,,,,2026-03-31T20:46:19+00:00
18,Backend - Desenvolvedor(a) Backend Ruby on Rails - Pleno,,,,,,2026-03-31T20:46:19+00:00
19,Backend - Desenvolvedor(a) Backend Ruby on Rails - Senior,,,,,,2026-03-31T20:46:19+00:00
20,Backend - Desenvolvedor(a) Backend Ruby on Rails - Especialista,,,,,,2026-03-31T20:46:19+00:00
21,Backend - Desenvolvedor(a) Backend PHP - Junior,,,,,,2026-03-31T20:46:19+00:00
22,Backend - Desenvolvedor(a) Backend PHP - Pleno,,,,,,2026-03-31T20:46:19+00:00
23,Backend - Desenvolvedor(a) Backend PHP - Senior,,,,,,2026-03-31T20:46:19+00:00
24,Backend - Desenvolvedor(a) Backend PHP - Especialista,,,,,,2026-03-31T20:46:19+00:00
25,Backend - Desenvolvedor(a) Backend Python - Junior,,,,,,2026-03-31T20:46:19+00:00
26,Backend - Desenvolvedor(a) Backend Python - Pleno,,,,,,2026-03-31T20:46:19+00:00
27,Backend - Desenvolvedor(a) Backend Python - Senior,,,,,,2026-03-31T20:46:19+00:00
28,Backend - Desenvolvedor(a) Backend Python - Especialista,,,,,,2026-03-31T20:46:19+00:00
29,Backend - Desenvolvedor(a) Backend GoLang - Junior,,,,,,2026-03-31T20:46:19+00:00
30,Backend - Desenvolvedor(a) Backend GoLang - Pleno,,,,,,2026-03-31T20:46:19+00:00
31,Backend - Desenvolvedor(a) Backend GoLang - Senior,,,,,,2026-03-31T20:46:19+00:00
32,Backend - Desenvolvedor(a) Backend GoLang - Especialista,,,,,,2026-03-31T20:46:19+00:00
33,Frontend - Desenvolvedor(a) Frontend React.JS - Junior,,,,,,2026-03-31T20:46:19+00:00
34,Frontend - Desenvolvedor(a) Frontend React.JS - Pleno,,,,,,2026-03-31T20:46:19+00:00
35,Frontend - Desenvolvedor(a) Frontend React.JS - Senior,,,,,,2026-03-31T20:46:19+00:00
36,Frontend - Desenvolvedor(a) Frontend React.JS - Especialista,,,,,,2026-03-31T20:46:19+00:00
37,Frontend - Desenvolvedor(a) Frontend Angular - Junior,,,,,,2026-03-31T20:46:19+00:00
38,Frontend - Desenvolvedor(a) Frontend Angular - Pleno,,,,,,2026-03-31T20:46:19+00:00
39,Frontend - Desenvolvedor(a) Frontend Angular - Senior,,,,,,2026-03-31T20:46:19+00:00
40,Frontend - Desenvolvedor(a) Frontend Angular - Especialista,,,,,,2026-03-31T20:46:19+00:00
