id,pessoa_id,contrato_id,periodo_aquisitivo_id,periodo_inicio,periodo_fim,duracao_dias,valor_recesso,mes_ano_referencia,status,observacoes,comentario_gestor,comentario_rh,aprovado_gestor_em,aprovado_rh_em,created_at,updated_at,pagamento_gerado,motivo_reprovacao
5105a8d2-1d67-429e-b8ae-764ef4781a53,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,,,2023-03-29,2023-03-31,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
74b2b51e-3a14-40e8-9ea1-eb5a761ff683,8e1a92c4-8f9d-4384-a36c-d71755da54e3,,,2023-05-08,2023-05-14,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
a0e802d9-92b6-436d-aa69-40522c38fdd2,05e3d1db-37cb-4126-ae4e-cb4f69e6d578,,,2023-04-10,2023-04-24,15,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
606a1621-f11b-4e7c-9d1e-352fbd761ca0,1edf275e-3e1e-4b76-991b-d613b37092cd,,,2022-08-01,2022-08-30,30,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
42723116-480f-4ff1-ad3d-1144d6e4adf3,27993847-9fba-4a48-8bc3-fcce03580e52,,,2023-02-01,2023-03-02,30,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
a5170fd6-0316-4ff8-8ae9-a8487d735127,455db50c-aacf-4dfc-96a4-93ff2140370a,,,2023-01-02,2023-01-06,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
fa71e50d-c32c-4f8b-9efc-baedbb900e79,e33b16f0-5cbe-4ecf-b040-8d825d3df097,,,2023-02-01,2023-02-10,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
015925b7-64a3-4dc6-9c3f-fbd9a153ad6e,ae1d495a-c300-4ac7-8050-ec83ee09419e,,,2023-01-17,2023-01-31,15,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
91ff4663-eed8-476e-a5bd-1ecddbe4deea,176c8161-7c21-46d3-98f8-d08b7f7e7a09,,,2023-02-06,2023-02-17,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
3c8ca8a3-342c-46c8-ab8d-30d75c3c5926,374fe992-196c-4459-ac2d-73506e791564,,,2023-01-02,2023-01-20,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
c879c7b7-eccf-4465-b2b8-0be2544945b5,e24224aa-dfc0-4e01-9952-e301d328efa5,,aeae1ebe-9dc1-4d52-a806-a768f8ef28b6,2023-01-02,2023-01-13,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
b72c8392-5150-4e07-ab9a-80fd6323b924,336f3a47-d234-4eac-bd72-ed4160eeb8ac,,,2022-12-08,2022-12-23,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
