id,pessoa_id,data_inicio_aquisitivo,data_fim_aquisitivo,situacao_periodo,data_inicio_recessivo,data_fim_recessivo,quantidade_dias_adquiridos,quantidade_dias_utilizados,saldo_dias,motivo_recessao,data_concessao_recesso,created_at,updated_at
35e92d70-65d8-419a-9295-e30eb1c725b4,51475395-84a5-48a1-9c77-b7e115df6af3,2023-02-01,2024-01-31,,,,300,27,3,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
5a625300-61fb-4525-8de6-7a73f514b908,16c916d8-28cb-44f4-b02d-69ee047174ce,2021-01-01,2021-12-31,,,,100,0,10,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
977fae1b-0763-4502-8ad5-5f847c43db5b,16c916d8-28cb-44f4-b02d-69ee047174ce,2022-01-01,2022-12-31,,,,100,0,10,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
5d20fed8-56ad-4126-b088-4c6a34d5e418,16c916d8-28cb-44f4-b02d-69ee047174ce,2019-04-18,2019-12-31,,,,80,0,8,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
d827683f-5956-463a-b28d-fc7009a2ca3c,16c916d8-28cb-44f4-b02d-69ee047174ce,2021-04-18,2022-04-17,,,,300,0,30,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
c6204a92-bdf5-4187-9e37-944a621039a8,16c916d8-28cb-44f4-b02d-69ee047174ce,2020-04-18,2021-04-17,,,,300,0,30,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
d88a3add-8e5f-45e1-abc2-e2cbb2ed22c4,16c916d8-28cb-44f4-b02d-69ee047174ce,2022-04-18,2023-04-17,,,,300,0,30,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
12e89044-ffd7-4139-9e1f-dae0131fcb5c,16c916d8-28cb-44f4-b02d-69ee047174ce,2020-01-01,2020-12-31,,,,100,0,10,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
cb4b5b8c-abfb-4911-9cd0-01068607c044,16c916d8-28cb-44f4-b02d-69ee047174ce,2023-04-18,2024-04-17,,,,300,0,30,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
b8bfaa33-5bf8-4716-b56b-e75f250fd80d,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,2021-12-02,2022-12-01,,,,300,0,30,,,2026-03-30T19:04:53+00:00,2026-03-30T19:04:53+00:00
