id,created_at,nome,faixa_salarial_inicio,faixa_salarial_centro,faixa_salarial_topo,senioridade_id,archived_at
1,2026-03-30T19:59:58+00:00,Analista de Design,,,,,
2,2026-03-30T19:59:58+00:00,CPO,,,,,
3,2026-03-30T19:59:58+00:00,Co-Founder,,,,,
4,2026-03-30T19:59:58+00:00,Analista de Marketing,,,,,
5,2026-03-30T19:59:58+00:00,CEO,,,,,
6,2026-03-30T19:59:58+00:00,Designer,,,,,
7,2026-03-30T19:59:58+00:00,COO,,,,,
8,2026-03-30T19:59:58+00:00,Líder de CX,,,,,
9,2026-03-30T19:59:58+00:00,CMO,,,,,
10,2026-03-30T19:59:58+00:00,Analista de Rel. Usuário,,,,,
11,2026-03-30T19:59:58+00:00,Head de Tecnologia,,,,,
12,2026-03-30T19:59:58+00:00,Desenvolvedor,,,,,
13,2026-03-30T19:59:58+00:00,Head de Mobile,,,,,
14,2026-03-30T19:59:58+00:00,Estagiário Financeiro,,,,,
15,2026-03-30T19:59:58+00:00,Analista de FinOps,,,,,
16,2026-03-30T19:59:58+00:00,Analista de CX,,,,,
17,2026-03-30T19:59:58+00:00,Estagiário de Marketing,,,,,
18,2026-03-30T19:59:58+00:00,Analista de Produto,,,,,
19,2026-03-30T19:59:58+00:00,Desenvolvedora,,,,,
20,2026-03-30T19:59:58+00:00,Product Manager,,,,,
21,2026-03-30T19:59:58+00:00,Analista de Conteúdo,,,,,
22,2026-03-30T19:59:58+00:00,CFO,,,,,
23,2026-03-30T19:59:58+00:00,Software Engineer,,,,,
24,2026-03-30T19:59:58+00:00,Coordenadora de Marketing,,,,,
25,2026-03-30T19:59:58+00:00,Analista de Dados,,,,,
26,2026-03-30T19:59:58+00:00,Estagiário de Tecnologia,,,,,
27,2026-03-30T19:59:58+00:00,Analista de Gente e Gestão,,,,,
28,2026-03-30T19:59:58+00:00,Head de Parcerias,,,,,
29,2026-03-30T19:59:58+00:00,Head de Dados,,,,,
30,2026-03-30T19:59:58+00:00,Engenheiro de Dados,,,,,
31,2026-03-30T19:59:58+00:00,Estagiária de UX,,,,,
32,2026-03-30T19:59:58+00:00,FinOps Manager,,,,,
33,2026-03-30T19:59:58+00:00,Analista de UX Research,,,,,
34,2026-03-30T19:59:58+00:00,Estagiária de Parcerias,,,,,
35,2026-03-30T19:59:58+00:00,Especialista de FP&A,,,,,
36,2026-03-30T19:59:58+00:00,Analista de Talent Acquisition,,,,,
37,2026-03-30T19:59:58+00:00,Especialista de Performance,,,,,
38,2026-03-30T19:59:58+00:00,Community Manager,,,,,
39,2026-03-30T19:59:58+00:00,Coordenador de Compliance,,,,,
40,2026-03-30T19:59:58+00:00,3D Designer,,,,,
41,2026-03-30T19:59:58+00:00,Especialista de Segurança,,,,,
42,2026-03-30T19:59:58+00:00,Estagiário de Dados,,,,,
43,2026-03-30T19:59:58+00:00,Editor de Vídeo,,,,,
44,2026-03-30T19:59:58+00:00,Head de Produto,,,,,
45,2026-03-30T19:59:58+00:00,Coordenador de Risco,,,,,
46,2026-03-30T19:59:58+00:00,Engenheira de Dados,,,,,
47,2026-03-30T19:59:58+00:00,UX Designer Pleno,,,,,
48,2026-03-30T19:59:58+00:00,Coordenadora de CX,,,,,
49,2026-03-30T19:59:58+00:00,Analista de CRM,,,,,
50,2026-03-30T19:59:58+00:00,Staff,,,,,
