id,pessoa_id,tipo_movimentacao,data_solicitacao,data_efetivacao,valor_anterior,valor_novo,cargo_anterior_id,cargo_novo_id,marca_anterior_id,marca_nova_id,departamento_anterior_id,departamento_novo_id,unidade_negocio_anterior_id,unidade_negocio_nova_id,empresa_contratante_anterior_id,empresa_contratante_nova_id,tipo_contrato_anterior,tipo_contrato_novo,motivo_movimentacao,solicitante,aprovador,status,observacoes,manager_anterior_id,manager_novo_id,justificativa_rejeicao,created_at,updated_at
bce23c61-d8a1-41d2-bd40-d776f768dfba,d42eee59-0612-4ebf-8935-898ce0b6e4aa,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2022-02-01,255000,690000,,,,,,,,,,,Estágio,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
58e8234b-c755-4677-9ac8-8a47e307cce2,d42eee59-0612-4ebf-8935-898ce0b6e4aa,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2022-08-01,690000,730000,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
49bec10d-155e-441f-bb74-3b6e3c3ed73f,d42eee59-0612-4ebf-8935-898ce0b6e4aa,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2023-01-02,730000,796581,,,,,,,,,,,PJ,PJ,Mérito + Dissídio,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
4371ab1c-a52b-4bfc-bca0-aa45e714dda4,d42eee59-0612-4ebf-8935-898ce0b6e4aa,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2024-01-01,830000,871500,,,,,,,,,,,PJ,PJ,Dissídio,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
67d0df9d-dcb3-420b-a941-ea146671b92f,d42eee59-0612-4ebf-8935-898ce0b6e4aa,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2024-02-01,871500,950000,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
8083b0ea-a375-4cfe-84ec-90a2151720f6,d42eee59-0612-4ebf-8935-898ce0b6e4aa,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2024-07-01,950000,1140000,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
f6a07032-9a0e-4397-aaa1-cf311bb02c97,d42eee59-0612-4ebf-8935-898ce0b6e4aa,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2023-08-01,796581,830000,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
926060da-5579-4004-bb2b-dec837ac1db7,b3ae4502-8a3d-49d2-a61c-9507347592c0,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2022-04-01,255000,305000,,,,,,,,,,,Estágio,Estágio,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
9992d0be-d694-4dfe-89a4-da7415a40569,b3ae4502-8a3d-49d2-a61c-9507347592c0,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2022-08-01,305000,600000,,,,,,,,,,,Estágio,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
b791dd17-2261-4e7d-a869-90a086409c46,b3ae4502-8a3d-49d2-a61c-9507347592c0,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2023-01-02,600000,713819,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
02ccedd8-2f00-498b-8cbd-203f79a480e9,b3ae4502-8a3d-49d2-a61c-9507347592c0,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2023-08-01,713819,750000,,,,,,,,,,,PJ,PJ,Mérito,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
170207e0-50b4-4589-ba31-d2cb0dc31cae,b3ae4502-8a3d-49d2-a61c-9507347592c0,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2024-01-01,750000,787500,,,,,,,,,,,PJ,PJ,Dissídio,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
6ee6d4cf-6f27-4970-9291-3ac52e11b7a7,b3ae4502-8a3d-49d2-a61c-9507347592c0,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2024-02-01,787500,875000,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
97484ca8-fc2f-4d89-a6ca-0f85b99366bd,b3ae4502-8a3d-49d2-a61c-9507347592c0,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2024-07-01,875000,1040000,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
c5310a9c-54de-4b76-9b26-2973e4a0b672,d3a04e1d-7a6d-4010-b8ee-99ad81ddcd05,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2023-01-02,600000,615879,,,,,,,,,,,PJ,PJ,Dissídio,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
e1775e8b-d104-4f27-8e23-0cca2752e58c,d3a04e1d-7a6d-4010-b8ee-99ad81ddcd05,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2023-08-01,615879,690000,,,,,,,,,,,PJ,PJ,Promoção,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
7e9bf089-cc46-48b7-88ae-0b0d01f32971,d3a04e1d-7a6d-4010-b8ee-99ad81ddcd05,"Tipo 2: Movimentação Interna (Envolve cargo, salário, liderança, área, etc)",,2024-01-01,690000,724500,,,,,,,,,,,PJ,PJ,Dissídio,,,Aprovado,,,,,2026-03-31T15:34:38+00:00,2026-03-31T15:34:38+00:00
